No,ID,First name,Last name,Gender,Date of Birth,Social ID
1,21127299,Quang,Tran Hoang Minh,Male,4/9/2002,4.16396E+12,,
2,21127300,Quen,Lam,Female,26/11/2002,4.62897E+12,,
3,21127301,Quoc,Dinh Anh,Female,16/3/2002,4.28075E+12,,
4,21127302,Quoc,Nguyen Vu Kien,Male,27/10/2002,4.63733E+12,,
5,21127303,Quoc,Tran Quang An,Male,21/4/2002,4.1617E+12,,
6,21127304,Quyen,Tran Thao,Male,2/2/2002,4.29667E+12,,
7,21127305,Quynh,Nguyen Nhat,Male,7/12/2002,4.06366E+12,,
8,21127306,Sang,Phan Minh,Male,28/8/2002,4.71131E+12,,
9,21127307,Son,Nguyen Le,Male,20/6/2002,4.68618E+12,,
10,21127308,Song,Duong,Female,20/7/2002,4.33721E+12,,
11,21127309,Su,Nguyen Quoc,Male,14/12/2002,4.47339E+12,,
12,21127310,Suong,Vo Thanh,Female,20/10/2002,4.43789E+12,,
13,21127311,Tai,Nguyen Chi,Female,16/6/2002,4.12008E+12,,
14,21127312,Tai,Pham Minh,Female,27/10/2002,3.84211E+12,,
15,21127313,Tai,Phan Tri,Male,6/9/2002,4.12475E+12,,
16,21127314,Tai,Tran Nguyen Anh,Male,29/11/2002,3.94285E+12,,
17,21127315,Tam,Pham Cao Minh,Female,27/4/2002,4.1587E+12,,
18,21127316,Tan,Le Duy,Female,6/5/2002,4.32525E+12,,
19,21127317,Tan,Tran Nhat,Female,12/2/2002,4.60306E+12,,
20,21127318,Tan,Vo Nhat,Female,22/12/2002,4.2179E+12,,
21,21127319,Thai,Luong Vu,Female,30/9/2002,3.97796E+12,,
22,21127320,Thang,Do Quoc,Female,27/6/2002,4.17408E+12,,
23,21127321,Thanh,Ngo Huu Nhat,Male,19/12/2002,4.39006E+12,,
24,21127322,Thanh,Bui Quang,Male,25/6/2002,4.70038E+12,,
25,21127323,Thien,Trinh Duc,Male,21/1/2002,4.456E+12,,
26,21127324,Thinh,Nguyen Duy,Female,8/6/2002,4.34513E+12,,
27,21127325,Thinh,Nguyen Phat,Male,1/1/2002,4.69208E+12,,
28,21127326,Thinh,Pham Huy Cuong,Male,21/10/2002,3.7941E+12,,
29,21127327,Thinh,Pham Nguyen Phuoc,Male,22/3/2002,3.89424E+12,,
30,21127328,Thinh,Tran Quang,Female,11/4/2002,4.13324E+12,,
31,21127329,Thinh,Truong Gia,Male,21/1/2002,3.72114E+12,,
32,21127330,Thu,Ho Nguyen Minh,Female,19/2/2002,4.69657E+12,,
33,21127331,Thu,Pham Ngoc Anh,Female,7/8/2002,4.20428E+12,,
34,21127332,Thuan,Vo Hien Hai,Male,24/11/2002,4.01229E+12,,
35,21127333,Thuan,Nguyen Chi,Male,18/8/2002,4.68147E+12,,
36,21127334,Thuan,Nguyen Dinh,Male,11/11/2002,3.83248E+12,,
37,21127335,Thuan,Nguyen Minh,Male,27/9/2002,4.17636E+12,,
38,21127336,Thuan,Tran Quoc,Female,2/9/2002,4.32636E+12,,
39,21127337,Thuy,Phan Thanh,Male,12/9/2002,4.1863E+12,,
40,21127338,Tien,Nguyen Minh,Female,6/6/2002,4.48784E+12,,
41,21127339,Tien,Tran Thien,Female,27/3/2002,3.93528E+12,,
42,21127340,Tin,Tran Trung,Male,10/7/2002,4.01853E+12,,
43,21127341,Toan,Le Chau,Male,23/7/2002,4.42071E+12,,
44,21127342,Toan,Pham Xuan,Female,29/1/2002,4.67363E+12,,
45,21127343,Trang,Nguyen Ngoc Dieu,Male,20/8/2002,3.86585E+12,,
46,21127344,Trang,Pham Hien Doan,Female,27/1/2002,4.54009E+12,,
47,21127345,Tri,Nguyen Vo Minh,Female,28/4/2002,3.81762E+12,,
48,21127346,Trinh,Nguyen Thi Hao,Female,24/9/2002,4.47612E+12,,
49,21127347,Trung,La Minh,Female,2/6/2002,3.86624E+12,,
50,21127348,Trung,Le Quoc,Male,31/1/2002,3.92478E+12,,
